236,新阳,2,68,236
237,新堰,2,25,237
238,新新集,2,17,238
239,新乡,7,39,239
240,新县,7,9,240
241,新下陆,2,24,241
242,新泰,3,87,242
243,新市,20,88,243
244,新荣站,2,17,244
245,新桥,2,2,245
246,新宁,5,89,246
247,新里仁,2,19,247
248,新晃,5,58,248
249,新化,5,90,249
250,新沟,2,3,250
251,新店,5,89,251
252,新城,2,10,252
253,新厂,2,3,253
254,新昌,8,13,254
255,新蔡,7,29,255
256,新安,7,91,256
257,辛店,2,10,257
258,辛冲,2,17,258
259,孝子店,2,68,259
260,孝感,2,10,260
261,孝昌,2,10,261
262,晓关,2,74,262
263,小悟,2,10,263
264,小林,2,68,264
265,小界岭,2,2,265
266,小河,2,10,266
267,小港,2,28,267
268,小阜,2,22,268
269,小池,2,2,269
270,小板,2,18,270
271,猇亭,2,4,271
272,萧山,8,92,272
273,肖岭,2,35,273
274,肖港,2,10,274
275,象山,8,32,275
276,项城,7,93,276
277,襄阳北,2,53,277
278,襄阳,2,53,278
279,襄县,7,44,279
280,襄樊府河,2,53,280
281,湘阴,5,55,281
282,湘乡,5,94,282
283,湘潭,5,94,283
284,湘湖,8,92,284
285,咸宁,2,17,285
286,咸丰,2,74,286
287,咸安高速,2,35,287
288,咸安,2,35,288
289,仙桃陈场,2,19,289
290,仙桃,2,19,290
291,仙仁渡,2,53,291
292,仙居,8,52,292
293,夏庄,7,9,293
294,夏邑,7,33,294
295,夏店,2,10,295
296,夏场,2,18,296
297,夏坳,2,2,297
298,下新河,2,28,298
299,下辛店,2,10,299
300,下陆,2,24,300
301,下查,2,19,301
302,淅河,2,68,302
303,浠水,2,2,303
304,息县,7,9,304
305,西峡,7,30,305
306,西平,7,29,306
307,西宁,21,95,307
308,西流河,2,19,308
309,西江,2,25,309
310,西河,2,2,310
312,雾渡河,2,4,312
313,婺源,6,59,313
314,舞阳,7,97,314
315,武重,2,17,315
316,武夷山,15,98,316
317,武穴,2,2,317
318,武胜关,7,9,318
319,武宁,6,43,319
320,武陵源,5,99,320
321,武汉,2,17,321
322,武冈,5,89,322
323,武当山,2,12,323
324,武昌,2,17,324
325,伍市口,5,51,325
326,五三农场,2,22,326
328,五里,2,22,328
329,五峰,2,4,329
330,梧州,22,100,330
331,吴江,13,50,331
332,芜湖,1,101,332
333,无锡北,13,71,333
334,无锡,13,71,334
335,无为,1,102,335
336,巫溪,10,21,336
337,巫山,10,21,337
338,乌鲁木齐,23,103,338
339,乌林,2,28,339
340,卧龙,2,34,340
341,涡阳,1,104,341
342,翁家店,2,17,342
343,文登,3,105,343
344,文成,8,106,344
345,温州,8,92,345
346,温泉谷,2,35,346
348,温岭,8,52,348
349,魏咀,2,17,349
350,卫店,2,10,350
351,潍坊,3,5,351
352,韦源口,2,24,352
353,威家,6,43,353
354,威海,3,5,354
355,望江,1,1,355
356,网市,2,3,356
357,王英,2,24,357
358,王家月,2,35,358
359,王家湾,2,17,359
360,王家店,2,2,360
361,王店,2,10,361
362,汪桥,2,3,362
363,汪集,2,17,363
364,汪岗,2,2,364
365,汪场,2,18,365
366,万州,10,21,366
367,万载,6,46,367
368,万县,10,108,368
369,万全,2,28,369
370,万年,6,59,370
371,万和,2,68,371
372,万福店口,2,68,372
373,万城,2,4,373
374,湾潭,2,4,374
375,屯溪,1,82,375
376,团风,2,2,376
377,团陂联罗田,2,2,377
378,团陂,2,2,378
379,吐鲁番,23,109,379
380,土城,10,21,380
381,涂巷,2,17,381
382,涂店,2,10,382
383,徒山,2,10,383
384,铜钟,7,9,384
385,铜陵,1,110,385
386,铜鼓,6,46,386
387,桐乡,8,111,387
388,桐庐,8,92,388
389,桐城口,1,1,389
390,桐城,1,1,390
391,桐柏,7,30,391
392,通山,2,35,392
393,通海口,2,3,393
394,通城,2,35,394
395,汀泗桥,2,35,395
396,铁山,2,24,396
397,田二河,2,18,397
398,天拄山,1,1,398
399,天长,1,112,399
400,天堂寨,2,2,400
401,天台,8,52,401
402,天水,24,113,402
403,天沐温泉,6,43,403
404,天门新堰,2,18,404
405,天门,2,18,405
406,天津,25,114,406
407,天河机场,2,17,407
408,木兰天池,2,17,408
409,桃源,5,51,409
410,桃江,5,7,410
411,桃花,2,2,411
412,唐镇,2,68,412
413,唐县镇,2,68,413
414,唐县,2,53,414
415,唐山,20,115,415
416,唐河,7,30,416
417,汤池,2,10,417
418,檀树岗,2,2,418
419,檀树,2,2,419
420,檀林,2,2,420
421,泰州,13,31,421
422,泰兴,13,85,422
423,泰山,3,87,423
424,泰宁,15,67,424
425,泰安,3,5,425
426,太子山,2,22,426
427,太子,2,24,427
428,太原,14,116,428
429,太平山,6,46,429
430,太平,11,117,430
431,太康,7,118,431
432,太湖口,1,1,432
433,太湖,1,1,433
434,太和,2,24,434
435,太仓,13,50,435
436,台州,8,92,436
437,台前,7,119,437
438,台南,2,2,438
439,台儿庄,3,120,439
440,孙桥,2,22,440
441,遂平,7,29,441
442,遂川,6,49,442
443,随州口,2,68,443
444,随州服务区,2,68,444
445,随州,2,68,445
446,绥宁,5,89,446
447,睢县,7,33,447
448,苏州,13,31,448
449,宋墙,2,2,449
450,宋集,2,121,450
451,宋河,2,22,451
452,宋埠,2,2,452
453,松滋,2,3,453
454,松溪,15,98,454
455,松山,26,122,455
456,松门,8,123,456
457,松柏,2,124,457
458,泗洪,13,125,458
459,寺坪,2,12,459
460,四合庄,2,17,460
461,四姑,2,17,461
462,顺德,9,126,462
463,顺昌,15,98,463
465,双庙关,2,2,465
466,双轮,7,9,466
467,双河,2,22,467
469,双沟,2,53,469
